date,amount,lastUpdate
2020-10-29T00:00:00.000Z,1451,2021-02-22T07:19:44.173Z
2020-10-30T00:00:00.000Z,1070,2021-02-22T07:19:44.173Z
2020-10-31T00:00:00.000Z,800,2021-02-22T07:19:44.173Z
2020-11-01T00:00:00.000Z,1528,2021-02-22T07:19:44.173Z
2020-11-02T00:00:00.000Z,919,2021-02-22T07:19:44.173Z
2020-11-03T00:00:00.000Z,734,2021-02-22T07:19:44.173Z
2020-11-04T00:00:00.000Z,636,2021-02-22T07:19:44.173Z
2020-11-05T00:00:00.000Z,847,2021-02-22T07:19:44.173Z
2020-11-06T00:00:00.000Z,896,2021-02-22T07:19:44.173Z
2020-11-07T00:00:00.000Z,688,2021-02-22T07:19:44.173Z
2020-11-08T00:00:00.000Z,684,2021-02-22T07:19:44.173Z
2020-11-09T00:00:00.000Z,927,2021-02-22T07:19:44.173Z
2020-11-10T00:00:00.000Z,337,2021-02-22T07:19:44.173Z
2020-11-11T00:00:00.000Z,1095,2021-02-22T07:19:44.173Z
2020-11-12T00:00:00.000Z,1214,2021-02-22T07:19:44.173Z
2020-11-13T00:00:00.000Z,739,2021-02-22T07:19:44.173Z
2020-11-14T00:00:00.000Z,426,2021-02-22T07:19:44.173Z
2020-11-15T00:00:00.000Z,978,2021-02-22T07:19:44.173Z
2020-11-16T00:00:00.000Z,666,2021-02-22T07:19:44.173Z
2020-11-17T00:00:00.000Z,582,2021-02-22T07:19:44.173Z
2020-11-18T00:00:00.000Z,805,2021-02-22T07:19:44.173Z
2020-11-19T00:00:00.000Z,756,2021-02-22T07:19:44.173Z
2020-11-20T00:00:00.000Z,680,2021-02-22T07:19:44.173Z
2020-11-21T00:00:00.000Z,451,2021-02-22T07:19:44.173Z
2020-11-22T00:00:00.000Z,1012,2021-02-22T07:19:44.173Z
2020-11-23T00:00:00.000Z,655,2021-02-22T07:19:44.173Z
2020-11-24T00:00:00.000Z,547,2021-02-22T07:19:44.173Z
2020-11-25T00:00:00.000Z,852,2021-02-22T07:19:44.173Z
2020-11-26T00:00:00.000Z,935,2021-02-22T07:19:44.173Z
2020-11-27T00:00:00.000Z,697,2021-02-22T07:19:44.173Z
2020-11-28T00:00:00.000Z,424,2021-02-22T07:19:44.173Z
2020-11-29T00:00:00.000Z,1113,2021-02-22T07:19:44.173Z
2020-11-30T00:00:00.000Z,741,2021-02-22T07:19:44.173Z
2020-12-01T00:00:00.000Z,703,2021-02-22T07:19:44.173Z
2020-12-02T00:00:00.000Z,847,2021-02-22T07:19:44.173Z
2020-12-03T00:00:00.000Z,1441,2021-02-22T07:19:44.173Z
2020-12-04T00:00:00.000Z,868,2021-02-22T07:19:44.173Z
2020-12-05T00:00:00.000Z,600,2021-02-22T07:19:44.173Z
2020-12-06T00:00:00.000Z,1407,2021-02-22T07:19:44.173Z
2020-12-07T00:00:00.000Z,913,2021-02-22T07:19:44.173Z
2020-12-08T00:00:00.000Z,899,2021-02-22T07:19:44.173Z
2020-12-09T00:00:00.000Z,1041,2021-02-22T07:19:44.173Z
2020-12-10T00:00:00.000Z,1444,2021-02-22T07:19:44.173Z
2020-12-11T00:00:00.000Z,1154,2021-02-22T07:19:44.173Z
2020-12-12T00:00:00.000Z,925,2021-02-22T07:19:44.173Z
2020-12-13T00:00:00.000Z,1923,2021-02-22T07:19:44.173Z
2020-12-14T00:00:00.000Z,1270,2021-02-22T07:19:44.173Z
2020-12-15T00:00:00.000Z,1212,2021-02-22T07:19:44.173Z
2020-12-16T00:00:00.000Z,1634,2021-02-22T07:19:44.173Z
2020-12-17T00:00:00.000Z,1962,2021-02-22T07:19:44.173Z
2020-12-18T00:00:00.000Z,1569,2021-02-22T07:19:44.173Z
2020-12-19T00:00:00.000Z,1095,2021-02-22T07:19:44.173Z
2020-12-20T00:00:00.000Z,2594,2021-02-22T07:19:44.173Z
2020-12-21T00:00:00.000Z,1574,2021-02-22T07:19:44.173Z
2020-12-22T00:00:00.000Z,1632,2021-02-22T07:19:44.173Z
2020-12-23T00:00:00.000Z,2043,2021-02-22T07:19:44.173Z
2020-12-24T00:00:00.000Z,2889,2021-02-22T07:19:44.173Z
2020-12-25T00:00:00.000Z,2418,2021-02-22T07:19:44.173Z
2020-12-26T00:00:00.000Z,1832,2021-02-22T07:19:44.173Z
2020-12-27T00:00:00.000Z,4243,2021-02-22T07:19:44.173Z
2020-12-28T00:00:00.000Z,2499,2021-02-22T07:19:44.173Z
2020-12-29T00:00:00.000Z,2413,2021-02-22T07:19:44.173Z
2020-12-30T00:00:00.000Z,3747,2021-02-22T07:19:44.173Z
2020-12-31T00:00:00.000Z,4288,2021-02-22T07:19:44.173Z
2021-01-01T00:00:00.000Z,3497,2021-02-22T07:19:44.173Z
2021-01-02T00:00:00.000Z,2063,2021-02-22T07:19:44.173Z
2021-01-03T00:00:00.000Z,5612,2021-02-22T07:19:44.173Z
2021-01-04T00:00:00.000Z,3120,2021-02-22T07:19:44.173Z
2021-01-05T00:00:00.000Z,2988,2021-02-22T07:19:44.173Z
2021-01-06T00:00:00.000Z,4829,2021-02-22T07:19:44.173Z
2021-01-07T00:00:00.000Z,5908,2021-02-22T07:19:44.173Z
2021-01-08T00:00:00.000Z,4886,2021-02-22T07:19:44.173Z
